id,country,continent,currency,currency_short,euro_conversion,e_sim
176,Qatar,Asia,Qatari riyal,QAR,"=IF(E177=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E177), 2))",
177,Romania,Europe,Romanian leu,RON,"=IF(E178=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E178), 2))",
178,Russia,Europe,Russian ruble,RUB,"=IF(E179=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E179), 2))",
179,Rwanda,Africa,Rwandan franc,RWF,"=IF(E180=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E180), 2))",
180,Réunion,Africa,Euro,EUR,"=IF(E181=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E181), 2))",
181,Saint Barthélemy,Americas,Euro,EUR,"=IF(E182=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E182), 2))",
182,"Saint Helena, Ascension and Tristan da Cunha",Africa,Pound sterling,GBP,"=IF(E183=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E183), 2))",
183,Saint Kitts and Nevis,Americas,Eastern Caribbean dollar,XCD,"=IF(E184=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E184), 2))",
184,Saint Lucia,Americas,Eastern Caribbean dollar,XCD,"=IF(E185=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E185), 2))",
185,Saint Martin,Americas,Euro,EUR,"=IF(E186=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E186), 2))",
186,Saint Pierre and Miquelon,Americas,Euro,EUR,"=IF(E187=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E187), 2))",
187,Saint Vincent and the Grenadines,Americas,Eastern Caribbean dollar,XCD,"=IF(E188=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E188), 2))",
188,Samoa,Oceania,Samoan tālā,WST,"=IF(E189=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E189), 2))",
189,San Marino,Europe,Euro,EUR,"=IF(E190=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E190), 2))",
190,Saudi Arabia,Asia,Saudi riyal,SAR,"=IF(E191=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E191), 2))",
191,Senegal,Africa,West African CFA franc,XOF,"=IF(E192=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E192), 2))",
192,Serbia,Europe,Serbian dinar,RSD,"=IF(E193=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E193), 2))",
193,Seychelles,Africa,Seychellois rupee,SCR,"=IF(E194=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E194), 2))",
194,Sierra Leone,Africa,Sierra Leonean leone,SLE,"=IF(E195=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E195), 2))",
195,Singapore,Asia,Singapore dollar,SGD,"=IF(E196=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E196), 2))",
196,Sint Maarten,Americas,Netherlands Antillean guilder,ANG,"=IF(E197=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E197), 2))",
197,Slovakia,Europe,Euro,EUR,"=IF(E198=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E198), 2))",
198,Slovenia,Europe,Euro,EUR,"=IF(E199=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E199), 2))",
199,Solomon Islands,Oceania,Solomon Islands dollar,SBD,"=IF(E200=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E200), 2))",
200,Somalia,Africa,Somali shilling,SOS,"=IF(E201=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E201), 2))",
201,South Africa,Africa,South African rand,ZAR,"=IF(E202=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E202), 2))",
202,South Georgia,Antarctic,Saint Helena pound,SHP,"=IF(E203=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E203), 2))",
203,South Korea,Asia,South Korean won,KRW,"=IF(E204=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E204), 2))",
204,South Sudan,Africa,South Sudanese pound,SSP,"=IF(E205=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E205), 2))",
205,Spain,Europe,Euro,EUR,"=IF(E206=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E206), 2))",
206,Sri Lanka,Asia,Sri Lankan rupee,LKR,"=IF(E207=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E207), 2))",
207,Sudan,Africa,Sudanese pound,SDG,"=IF(E208=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E208), 2))",
208,Suriname,Americas,Surinamese dollar,SRD,"=IF(E209=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E209), 2))",
209,Svalbard and Jan Mayen,Europe,krone,NOK,"=IF(E210=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E210), 2))",
210,Sweden,Europe,Swedish krona,SEK,"=IF(E211=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E211), 2))",
211,Switzerland,Europe,Swiss franc,CHF,"=IF(E212=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E212), 2))",
212,Syria,Asia,Syrian pound,SYP,"=IF(E213=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E213), 2))",
213,São Tomé and Príncipe,Africa,São Tomé and Príncipe dobra,STN,"=IF(E214=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E214), 2))",
214,Taiwan,Asia,New Taiwan dollar,TWD,"=IF(E215=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E215), 2))",
215,Tajikistan,Asia,Tajikistani somoni,TJS,"=IF(E216=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E216), 2))",
216,Tanzania,Africa,Tanzanian shilling,TZS,"=IF(E217=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E217), 2))",
217,Thailand,Asia,Thai baht,THB,"=IF(E218=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E218), 2))",
218,Timor-Leste,Asia,United States dollar,USD,"=IF(E219=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E219), 2))",
219,Togo,Africa,West African CFA franc,XOF,"=IF(E220=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E220), 2))",
220,Tokelau,Oceania,New Zealand dollar,NZD,"=IF(E221=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E221), 2))",
221,Tonga,Oceania,Tongan paʻanga,TOP,"=IF(E222=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E222), 2))",
222,Trinidad and Tobago,Americas,Trinidad and Tobago dollar,TTD,"=IF(E223=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E223), 2))",
223,Tunisia,Africa,Tunisian dinar,TND,"=IF(E224=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E224), 2))",
224,Turkmenistan,Asia,Turkmenistan manat,TMT,"=IF(E225=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E225), 2))",
225,Turks and Caicos Islands,Americas,United States dollar,USD,"=IF(E226=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E226), 2))",
226,Tuvalu,Oceania,Australian dollar,AUD,"=IF(E227=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E227), 2))",
227,Turkey,Asia,Turkish lira,TRY,"=IF(E228=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E228), 2))",
228,Uganda,Africa,Ugandan shilling,UGX,"=IF(E229=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E229), 2))",
229,Ukraine,Europe,Ukrainian hryvnia,UAH,"=IF(E230=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E230), 2))",
230,United Arab Emirates,Asia,United Arab Emirates dirham,AED,"=IF(E231=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E231), 2))",
231,United Kingdom,Europe,British pound,GBP,"=IF(E232=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E232), 2))",
232,United States,Americas,United States dollar,USD,"=IF(E233=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E233), 2))",
233,United States Minor Outlying Islands,Americas,United States dollar,USD,"=IF(E234=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E234), 2))",
234,United States Virgin Islands,Americas,United States dollar,USD,"=IF(E235=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E235), 2))",
235,Uruguay,Americas,Uruguayan peso,UYU,"=IF(E236=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E236), 2))",
236,Uzbekistan,Asia,Uzbekistani soʻm,UZS,"=IF(E237=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E237), 2))",
237,Vanuatu,Oceania,Vanuatu vatu,VUV,"=IF(E238=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E238), 2))",
238,Vatican City,Europe,Euro,EUR,"=IF(E239=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E239), 2))",
239,Venezuela,Americas,Venezuelan bolívar soberano,VES,"=IF(E240=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E240), 2))",
240,Vietnam,Asia,Vietnamese đồng,VND,"=IF(E241=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E241), 2))",
241,Wallis and Futuna,Oceania,CFP franc,XPF,"=IF(E242=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E242), 2))",
242,Western Sahara,Africa,Algerian dinar,DZD,"=IF(E243=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E243), 2))",
243,Yemen,Asia,Yemeni rial,YER,"=IF(E244=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E244), 2))",
244,Zambia,Africa,Zambian kwacha,ZMW,"=IF(E245=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E245), 2))",
245,Zimbabwe,Africa,Botswana pula,BWP,"=IF(E246=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E246), 2))",
246,Åland Islands,Europe,Euro,EUR,"=IF(E247=""EUR"", 1, ROUND(GOOGLEFINANCE(""CURRENCY:EUR"" & E247), 2))",
